n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
1000,1,4,9888,1945,7943,7.943,22.864815,63936,56000,7936,7.936,13.816943
102000,1,4,1052726,229700,823026,8.068882,67.662579,6528952,5712000,816952,8.009333,13.289993
304000,1,4,2963931,799646,2164285,7.119359,61.514724,19460152,17024000,2436152,8.013658,13.333737
506000,1,4,4822984,1305265,3517719,6.952014,60.832335,32382272,28336000,4046272,7.996585,13.264272
607000,1,4,5658294,1511062,4147232,6.832343,53.633186,38853784,33992000,4861784,8.009529,13.296077
708000,1,4,7369171,1925879,5443292,7.688266,68.590453,45313536,39648000,5665536,8.002169,13.249266
809000,1,4,8494220,2274948,6219272,7.687604,62.640895,51784440,45304000,6480440,8.010433,13.302813
910000,1,4,8981332,2405152,6576180,7.226571,57.440554,58233280,50960000,7273280,7.992615,13.229203
1011000,1,4,9554461,2650719,6903742,6.828627,42.470304,64709696,56616000,8093696,8.005634,13.305756
1112000,1,4,11518659,3047361,8471298,7.618074,62.064129,71166872,62272000,8894872,7.998986,13.25336
1213000,1,4,11992076,3267074,8725002,7.192912,51.185771,77630736,67928000,9702736,7.998958,13.263991
1314000,1,4,12496993,3443971,9053022,6.889667,45.334096,84089096,73584000,10505096,7.994746,13.226769
1415000,1,4,13056579,3606962,9449617,6.678175,44.418157,90555424,79240000,11315424,7.996766,13.244933
1516000,1,4,14671768,3943128,10728640,7.076939,48.561678,97023944,84896000,12127944,7.999963,13.286795
1819000,1,4,17367236,4662818,12704418,6.984287,66.532892,116405976,101864000,14541976,7.994489,13.264812
2627000,1,4,25122619,6759334,18363285,6.990211,54.537762,168112872,147112000,21000872,7.994241,13.245902
2526000,1,4,24521921,6218052,18303869,7.246187,51.993073,161663408,141456000,20207408,7.999766,13.270758
4243000,1,4,42051553,10972892,31078661,7.32469,53.046437,271553344,237608000,33945344,8.000317,13.260023
4142000,1,4,41415514,11038230,30377284,7.333965,44.541055,265076408,231952000,33124408,7.997201,13.263736
1718000,1,4,17455921,4305693,13150228,7.654382,27.694825,109948912,96208000,13740912,7.998203,13.263531
4041000,1,4,40505177,10942390,29562787,7.315711,44.17589,258612072,226296000,32316072,7.997048,13.255282
2425000,1,4,24890417,6347646,18542771,7.646504,43.600468,155203576,135800000,19403576,8.001475,13.270581
3940000,1,4,42313396,10803780,31509616,7.997364,51.449515,252165680,220640000,31525680,8.001442,13.276053
7475000,1,4,78039211,19802838,58236373,7.790819,50.009695,478344992,418600000,59744992,7.992641,13.229341
3839000,1,4,40602320,10410556,30191764,7.864487,39.22975,245680472,214984000,30696472,7.995955,13.239728
7374000,1,4,76184042,20188512,55995530,7.593644,42.101235,471894192,412944000,58950192,7.99433,13.228877
7273000,1,4,76690821,20168703,56522118,7.7715,50.132697,465415488,407288000,58127488,7.99223,13.240344
7172000,1,4,75418090,19706063,55712027,7.76799,42.38659,458982432,401632000,57350432,7.996435,13.24092
7071000,1,4,75146126,19482110,55664016,7.872156,43.187728,452517168,395976000,56541168,7.996205,13.255196
6970000,1,4,73660720,18868221,54792499,7.861191,43.316954,446069928,390320000,55749928,7.998555,13.259746
6869000,1,4,72868103,18870281,53997822,7.861089,42.160831,439584928,384664000,54920928,7.995476,13.253839
6768000,1,4,72774682,18570429,54204253,8.008903,55.305258,433093600,379008000,54085600,7.991371,13.235133
6667000,1,4,68486256,17739322,50746934,7.61166,35.951198,426657616,373352000,53305616,7.995443,13.260097
3738000,1,4,38608912,10018888,28590024,7.648482,44.99835,239255424,209328000,29927424,8.006266,13.297347
2324000,1,4,21729443,5525796,16203647,6.972309,39.694058,148725744,130144000,18581744,7.995587,13.257635
203000,1,4,1931124,498439,1432685,7.057562,33.39178,12990640,11368000,1622640,7.9933,13.263336
6566000,1,4,68512886,17703994,50808892,7.73818,46.65588,420161104,367696000,52465104,7.990421,13.226664
3637000,1,4,35870275,9056766,26813509,7.372425,39.557742,232748376,203672000,29076376,7.994604,13.243307
1617000,1,4,15052522,3947960,11104562,6.867385,22.839873,103484392,90552000,12932392,7.997769,13.253947
6465000,1,4,66233006,17174719,49058287,7.588289,38.433981,413719656,362040000,51679656,7.99376,13.238062
3536000,1,4,36019363,9059150,26960213,7.624495,34.427633,226305760,198016000,28289760,8.000498,13.278842
2223000,1,4,23039935,5721500,17318435,7.790569,52.291425,142258976,124488000,17770976,7.994141,13.233266
6364000,1,4,64831604,17218852,47612752,7.481576,49.703655,407284128,356384000,50900128,7.998135,13.26794
6263000,1,4,62897874,16531473,46366401,7.403225,35.281248,400807776,350728000,50079776,7.996132,13.246431
3435000,1,4,35327710,8746285,26581425,7.738406,43.671391,219834496,192360000,27474496,7.998398,13.256586
6162000,1,4,63400508,16531410,46869098,7.60615,50.854548,394346064,345072000,49274064,7.99644,13.243459
6061000,1,4,60634270,15801355,44832915,7.39695,36.107093,387874648,339416000,48458648,7.995157,13.246397
3334000,1,4,30983630,8115885,22867745,6.858952,43.72965,213364640,186704000,26660640,7.996593,13.247449
5960000,1,4,58506585,14699364,43807221,7.350205,32.236936,381413832,333760000,47653832,7.995609,13.250458
2122000,1,4,18736241,5028743,13707498,6.459707,52.12736,144290200,118832000,25458200,11.997267,24.622289
5859000,1,4,60482130,15434420,45047710,7.688635,48.807452,374968168,328104000,46864168,7.998663,13.263822
5758000,1,4,56322366,14272990,42049376,7.302775,39.1567,368483368,322448000,46035368,7.995027,13.249033
3233000,1,4,31414350,8207515,23206835,7.178112,38.81908,206903264,181048000,25855264,7.997298,13.256287
5657000,1,4,54718399,13847930,40870469,7.22476,40.323334,362025456,316792000,45233456,7.996015,13.256615
5556000,1,4,53007531,13257849,39749682,7.15437,40.054321,355546624,311136000,44410624,7.993273,13.243342
5455000,1,4,52973896,13641449,39332447,7.210348,39.285825,349069632,305480000,43589632,7.990767,13.227238
3132000,1,4,31619084,7816655,23802429,7.599754,45.582397,200426752,175392000,25034752,7.993216,13.234584
405000,1,4,4226638,1054231,3172407,7.833104,49.219388,25919176,22680000,3239176,7.997965,13.239716
5354000,1,4,50909966,13252336,37657630,7.033551,34.928154,342657232,299824000,42833232,8.00023,13.265978
2021000,1,4,21296782,5442370,15854412,7.844835,33.035319,129342632,113176000,16166632,7.999323,13.261313
5253000,1,4,51816270,13234493,38581777,7.344713,44.643451,336154072,294168000,41986072,7.99278,13.237913
3031000,1,4,30529775,7673980,22855795,7.540678,31.856306,193971496,169736000,24235496,7.995875,13.247969
5152000,1,4,53150597,13255631,39894966,7.743588,38.529706,329688488,288512000,41176488,7.992331,13.239654
10000000,1,4,102924345,27031199,75893146,7.589315,40.963749,639894624,560000000,79894624,7.989462,13.228944
9899000,1,4,101629589,26891597,74737992,7.550055,37.515845,633464696,554344000,79120696,7.992797,13.242225
9798000,1,4,101125547,26280577,74844970,7.638801,41.71682,626951224,548688000,78263224,7.987673,13.21316
5051000,1,4,55131771,14246241,40885530,8.094542,55.65959,323254968,282856000,40398968,7.998212,13.265899
9596000,1,4,100360244,26197665,74162579,7.728489,41.574956,614075408,537376000,76699408,7.992852,13.243007
9697000,1,4,104751184,26680161,78071023,8.051049,50.538686,620523584,543032000,77491584,7.991295,13.233669
9495000,1,4,98002375,25529067,72473308,7.632787,43.68482,607612376,531720000,75892376,7.992878,13.236697
9394000,1,4,98380963,25464478,72916485,7.762027,43.4817,601091624,526064000,75027624,7.98676,13.209068
2930000,1,4,28439730,7234967,21204763,7.23712,47.508385,187496400,164080000,23416400,7.991945,13.230626
9293000,1,4,96722514,24943008,71779506,7.72404,44.595627,594672568,520408000,74264568,7.991452,13.228665
4950000,1,4,49495570,12684935,36810635,7.436492,33.814397,316742472,277200000,39542472,7.988378,13.225335
9192000,1,4,96835930,24782962,72052968,7.838661,42.818457,588196248,514752000,73444248,7.990018,13.235284
4849000,1,4,46699873,12008449,34691424,7.154346,32.233121,310343664,271544000,38799664,8.001581,13.274058
1920000,1,4,19959359,5087286,14872073,7.745871,43.777165,122872312,107520000,15352312,7.995996,13.238797
9091000,1,4,94277696,24106475,70171221,7.718757,43.596531,581735168,509096000,72639168,7.990229,13.225927
2829000,1,4,27779258,7130943,20648315,7.298803,42.85767,181061088,158424000,22637088,8.001799,13.274485
8990000,1,4,92451174,24118325,68332849,7.600984,42.596395,575249824,503440000,71809824,7.987745,13.21774
4748000,1,4,47279437,11740101,35539336,7.485117,36.237418,303871784,265888000,37983784,7.999955,13.261912
8889000,1,4,90885011,23591383,67293628,7.570439,47.596203,568824432,497784000,71040432,7.991949,13.231297
8788000,1,4,86228215,22985527,63242688,7.196482,33.702566,562366912,492128000,70238912,7.992594,13.23957
4647000,1,4,46738016,11571602,35166414,7.567552,38.751749,297395864,260232000,37163864,7.997388,13.251751
8687000,1,4,90105646,23471409,66634237,7.670569,39.208928,555911424,486472000,69439424,7.993487,13.235306
8586000,1,4,85290476,22489410,62801066,7.314357,35.138893,549443160,480816000,68627160,7.992914,13.23391
2728000,1,4,26201707,6718494,19483213,7.14194,17.138149,174584408,152768000,21816408,7.997217,13.264703
4546000,1,4,45691009,11368189,34322820,7.550114,33.373854,290940672,254576000,36364672,7.999268,13.258832
8485000,1,4,86281203,22359280,63921923,7.533521,37.535811,542965328,475160000,67805328,7.9912,13.231075
8384000,1,4,86302724,22960018,63342706,7.555189,40.488086,536522736,469504000,67018736,7.993647,13.23691
4445000,1,4,43156312,10916433,32239879,7.253066,37.967104,284439816,248920000,35519816,7.99096,13.230192
8283000,1,4,82088204,21570167,60518037,7.306294,42.331796,530072872,463848000,66224872,7.995276,13.253007
4344000,1,4,38437398,10251459,28185939,6.488476,30.428321,277985328,243264000,34721328,7.992939,13.240402
8182000,1,4,80386634,21302525,59084109,7.221231,45.2134,523566336,458192000,65374336,7.990019,13.209653
8081000,1,4,77503874,20790016,56713858,7.018173,36.68437,517148704,452536000,64612704,7.995632,13.251042
7980000,1,4,72259881,20155369,52104512,6.529387,40.925793,510680504,446880000,63800504,7.995051,13.24437
7879000,1,4,76805454,20892346,55913108,7.096473,43.90162,504195208,441224000,62971208,7.992284,13.238582
7778000,1,4,69535455,19272758,50262697,6.462162,32.621409,497753872,435568000,62185872,7.995098,13.244182
7677000,1,4,70875072,19550857,51324215,6.685452,44.410842,491261856,429912000,61349856,7.991384,13.226103
7576000,1,4,68082233,18655937,49426296,6.524062,36.742156,484819152,424256000,60563152,7.99408,13.241419
